,Date,Value,Descricao,Categoria
0,2017-09-05,2116.0,13º Salário,13° Salário
1,2017-11-30,951.67,13º Salário - 1ª Parcela,13° Salário
2,2017-11-30,2000.0,13º Salário - 1ª Parcela,13° Salário
3,2017-11-30,830.82,13º Salário - 1ª Parcela,13° Salário
4,2017-12-20,2000.0,13º Salário - 2ª Parcela,13° Salário
5,2017-12-20,650.0,13º Salário Seu Zé,13° Salário
6,2017-12-14,705.34,13º Salário,13° Salário
7,2017-12-15,673.01,13º Salário - 2ª Parcela,13° Salário
8,2017-12-20,775.93,13º Salário - 2ª Parcela,13° Salário
9,2017-01-10,1900.0,Afinações,Afinações
10,2017-01-10,100.0,Afinações,Afinações
11,2017-01-10,2950.0,Afinações / Edições,Afinações
12,2017-01-10,600.0,Afinações Guias Acústicas,Afinações
13,2017-02-13,4928.0,Ediçoes e Afinaçoes - Paula Mattos,Afinações
14,2017-09-21,2200.0,Edições / Afinações,Afinações
15,2017-09-21,800.0,Edições / Afinações,Afinações
16,2017-03-06,2650.0,Afinações / Edições,Afinações
17,2017-03-06,1000.0,Afinações / Edições,Afinações
18,2017-04-05,700.0,Afinações / Edições,Afinações
19,2017-04-05,200.0,Afinações / Edições,Afinações
20,2017-04-05,200.0,Afinações / Edições,Afinações
21,2017-06-05,1400.0,Afinações/Edições,Afinações
22,2017-06-05,100.0,Afinações/Edições,Afinações
23,2017-06-05,800.0,Afinações/Edições,Afinações
24,2017-06-05,200.0,Afinações/Edições,Afinações
25,2017-07-05,750.0,Afinações / Edições,Afinações
26,2017-07-05,100.0,Afinações / Edições,Afinações
27,2017-07-05,200.0,Afinações / Edições,Afinações
28,2017-08-05,250.0,Afinação/Edição ,Afinações
29,2017-08-05,100.0,Afinação/Edição ,Afinações
30,2017-09-05,1500.0,Afinações / Edições,Afinações
31,2017-09-05,400.0,Afinações / Edições,Afinações
32,2017-09-05,100.0,Afinações / Edições,Afinações
33,2017-09-05,100.0,Afinações / Edições,Afinações
34,2017-10-05,1250.0,Afinação / Edição,Afinações
35,2017-10-05,500.0,Afinação / Edição,Afinações
36,2017-11-01,200.0,Afinações / Edições,Afinações
37,2017-11-01,100.0,Afinações / Edições,Afinações
38,2017-11-01,100.0,Afinações / Edições,Afinações
39,2017-11-01,850.0,Afinações / Edições,Afinações
40,2017-12-05,700.0,Afinações - Lari e Thaeme,Afinações
41,2017-12-05,400.0,Afinações - Lari e Thaeme,Afinações
42,2017-12-05,300.0,Afinações - Lari e Thaeme,Afinações
43,2018-01-05,4000.0,Afinações / Edições,Afinações
44,2018-01-05,1500.0,Afinações / Edições,Afinações
45,2018-01-05,100.0,Afinações / Edições,Afinações
