,Date,Value,Descricao,Categoria
0,2015-05-16,460.32,Compesa,Água
1,2015-06-15,371.3,Compesa,Água
2,2015-08-15,300.82,CONTA ÁGUA 07-2015,Água
3,2015-09-15,217.74,COMPESA - 08/2015,Água
4,2015-10-15,198.12,FATURA 09/2015,Água
5,2015-12-15,256.98,COMPESA 11 2015,Água
6,2015-11-15,237.36,COMPESA 10-2015,Água
7,2016-03-10,140.0,"SERVIÇOS GRÁFRICOS, FOLDERS",Água
8,2016-03-14,15.0,COMPRA DE ÁGUA MINERAL,Água
9,2016-03-07,15.0,COMPRA DE 3 ÁGUAS MINERAL,Água
10,2016-03-18,178.0,CONTA DE ÁGUA COMPESA,Água
11,2016-03-22,200.0,DEVOLUÇÃO DE MATRÍCULA (ANA CLARA NUNES),Água
12,2016-05-06,135.89,COMPESA,Água
13,2015-06-05,5288.3,Aluguel,Aluguel
14,2015-07-15,150.0,ALUGUEL IMPRESSORA,Aluguel
15,2016-03-15,5288.0,ALUGUEL DA ESPEO,Aluguel
16,2016-03-21,5590.0,MOTOR ENDO X-SMART PLUS (ROTATÓRIA),Aquisição de equipamentos
17,2016-03-18,99.9,TELEFONE SEM FIO INTELBRAS,Aquisição de equipamentos
18,2016-03-18,598.0, DOIS TELEFONES CELULAR LG,Aquisição de equipamentos
19,2015-08-16,321.43,COMPRA MATERIAL DE LIMPEZA A CAROLINA CASSEMIRO,Aquisição de suprimentos
20,2015-09-16,344.68,Material de limpeza,Aquisição de suprimentos
21,2015-08-20,710.8,compra material para clínica,Aquisição de suprimentos
22,2016-03-08,693.74,DMR IND MATERIAL ODONTOLÓGICO,Aquisição de suprimentos
23,2016-03-14,464.97,"COMPONENTES CIRÚRGICOS, MATERIAL ODONTOLÓGICO",Aquisição de suprimentos
24,2016-04-15,450.0,NEOSURGICALDENTAL XPRESS,Aquisição de suprimentos
25,2016-04-15,5608.61,PAGAMENTO DE DR. LINCOLN,Aquisição de suprimentos
26,2016-04-18,689.56,EFF DENTAL,Aquisição de suprimentos
27,2015-06-09,24.9,Compras p/ Almoço funcionários,Benefício: alimentação
28,2015-06-09,78.38,Compras para almoço funcionário,Benefício: alimentação
29,2015-06-10,20.31,COMPRAS ALMOÇO FUNCIONÁRIOS,Benefício: alimentação
30,2015-06-16,50.0,CARNE PARA ALMOÇO FUNCIONÁRIOS,Benefício: alimentação
31,2015-06-16,50.0,CARNE PARA ALMOÇO FUNCS,Benefício: alimentação
32,2015-07-07,19.99,COMPRA ALIMENTAÇÃO PARA FUNCIONÁRIOS,Benefício: alimentação
33,2015-07-04,10.92,Compra alimentação p/ funcs,Benefício: alimentação
34,2015-08-17,18.58,SM EXTRABOM - COMPRAS P/ALMOÇO FUNCS. ,Benefício: alimentação
35,2015-08-21,23.0,COMPRAS ALIMENTO,Benefício: alimentação
36,2015-08-10,587.15,CIM 2015/02,CIM (inscrição municipal)
37,2015-08-04,934.76,Straumann,Compra de Produtos
38,2015-07-06,934.47,Straumann,Compra de Produtos
39,2015-08-07,257.67,Conexão,Compra de Produtos
40,2015-06-08,257.67,Conexão,Compra de Produtos
41,2015-12-09,406.56,Conexão,Compra de Produtos
42,2015-06-11,81.23,Straumann,Compra de Produtos
43,2015-08-11,406.52,Conexão,Compra de Produtos
44,2015-06-15,2967.41,Straumann,Compra de Produtos
45,2015-09-15,2967.41,Straumann,Compra de Produtos
46,2015-12-15,2967.41,Straumann,Compra de Produtos
47,2015-08-24,556.9,Conexão,Compra de Produtos
48,2015-06-25,556.9,Conexão,Compra de Produtos
49,2015-07-25,556.9,Conexão,Compra de Produtos
50,2015-10-25,552.5,Conexão,Compra de Produtos
51,2015-06-27,552.5,Conexão,Compra de Produtos
52,2015-07-27,552.5,Conexão,Compra de Produtos
53,2015-06-12,406.52,Conexão,Compra de Produtos
54,2015-07-07,257.45,compra mandril e silicone,Compra de Produtos
55,2015-07-08,257.67,Conexão,Compra de Produtos
56,2015-07-17,969.59,COMPRA CARTÃO CRÉDITO MATERIAL PARA A CLÍNICA,Compra de Produtos
57,2015-07-23,450.0,Compra Membranas Criteria - Katarine de Biase,Compra de Produtos
58,2015-07-12,406.52,Conexão,Compra de Produtos
59,2015-08-05,710.8,COMPRA MATERIAIS P/CLÍNICA,Compra de Produtos
60,2015-07-15,2967.41,Straumann,Compra de Produtos
61,2015-08-05,450.9,compra feita no cartão,Compra de Produtos
62,2015-08-12,660.0,ADVANCED COM IMPLANTES E CONEXÕES ODONT. LTDA,Compra de Produtos
63,2015-08-24,206.45,COMPRA MATERIAL,Compra de Produtos
64,2015-09-14,206.45,COMPRA MATERIAL,Compra de Produtos
65,2015-08-15,2967.41,Straumann,Compra de Produtos
66,2015-09-06,257.67,Conexão,Compra de Produtos
67,2015-09-06,273.2,VJB PROD ODONTOLÓGICOS,Compra de Produtos
68,2015-09-10,406.52,Conexão,Compra de Produtos
69,2015-09-14,248.55,COMPRA DE MATERIAL ESCRITÓRIO,Compra de Produtos
70,2015-09-23,556.96,Conexão,Compra de Produtos
71,2015-09-25,552.5,Conexão,Compra de Produtos
72,2015-10-20,14.33,COMPRAS PARA A CANTINA,Compra de Produtos
73,2015-10-10,406.52,Conexão,Compra de Produtos
74,2015-10-15,2967.41,Straumann,Compra de Produtos
75,2015-10-06,257.65,Conexão,Compra de Produtos
76,2015-10-23,200.0,Parcela [1/1] - Brascon ,Compra de Produtos
77,2015-12-04,44.59,MATERIAL PARA COFFEE-BREAK,Compra de Produtos
78,2015-11-09,406.52,Conexão,Compra de Produtos
79,2015-11-24,552.5,Conexão,Compra de Produtos
80,2015-10-25,650.33,[1/10] Conexão - Conexão,Compra de Produtos
81,2015-11-24,601.3,[2/10] Conexão - Conexão,Compra de Produtos
82,2015-12-24,601.3,[3/10] Conexão - Conexão,Compra de Produtos
