,Date,Value,Descricao,Categoria
0,2016-06-09,40.0,PAGTO MENSALIDADE ,ACIC 
1,2016-05-09,40.0,PAGTO MENSALIDADE ,ACIC 
2,2017-04-13,375.0,COMPRA DE TOUCA DE NATAÇÃO,ACIC 
3,2017-08-17,380.0,Materiais hidráulicos banheiros ,ACIC 
4,2017-08-21,180.0,Cabide,ACIC 
5,2016-03-31,168.0,PAGAMENTO AGUA LUSTRAL,Água
6,2016-04-06,6.85,CORREIOS ENTREGA DE CONVENIOS,Água
7,2016-04-06,95.0,PAGAMENTO DE LUVAS,Água
8,2016-04-11,230.0,PAGO DOIS CAMINHOES PIPA,Água
9,2016-04-14,176.83,Compesa ,Água
10,2016-04-14,6.85,correios entrega de convenios,Água
11,2016-04-14,100.0,VALE PARA DANIEL,Água
12,2016-04-15,20.0,DOAÇAO DA IGREJA   (  DANIEL  ),Água
13,2016-04-18,6.0,REVISTA,Água
14,2016-04-18,786.48,PAGAMENTO DO GAS,Água
15,2016-04-19,7.0,ALMOÇO RENATA,Água
16,2016-04-20,10.0,entrega de produçao da unimed,Água
17,2016-04-22,10.0,FILHA DE RENATA   ( VALE PARA DANIEL ),Água
18,2016-04-29,150.0,PAGAMENTO AGUA LUSTRAL,Água
19,2016-03-22,230.0,DOIS CAMINHOES PIPA UM FOI DIA 07/03/2016 E O OUTRO DIA 22/03/2016,Água
20,2016-06-09,115.0,PAGAMENTO DA AGUA DO CAMINHAO PIPA,Água
21,2016-06-27,235.48,Conta de Água,Água
22,2016-05-09,115.0,CAMINHAO PIPA,Água
23,2016-05-23,115.0,Caminhão Pipa,Água
24,2016-07-06,132.0,PAGAMENTO DA AGUA LUSTRAL,Água
25,2016-07-07,345.0,PAGAMENTO DE 03 CAMINHAO PIPA,Água
26,2016-07-20,115.0,PAGAMENTO CAMINHA0 PIPA,Água
27,2016-07-22,137.74,Pagto Compesa,Água
28,2016-08-03,138.0,AGUA LUSTRAL,Água
29,2016-08-03,115.0,CAMINHAO PIPA,Água
30,2016-08-31,168.0,pagamento agua lustral,Água
31,2016-09-16,274.57,Pagto ägua,Água
32,2016-09-20,115.0,CAMINHAO PIPA,Água
33,2016-09-22,115.0,PAGAMENTO DO CAMINHAO PIPA,Água
34,2016-10-06,140.0,caminhao pipa,Água
35,2016-10-06,144.0,PAGAMENTO A AGUA LUSTRAL,Água
36,2016-10-19,140.0,caminhao pipa,Água
37,2016-10-24,196.38,PAGAMENTO DA AGUA,Água
38,2016-10-25,140.0,CAMINHAO PIPA,Água
39,2016-11-07,140.0,PAGAMENTO CAMINHA PIPA,Água
40,2016-11-09,180.0,PAGAMENTO AGUA LUSTRAL,Água
41,2016-11-11,140.0,caminhao pipa ,Água
42,2016-11-24,137.74,Pagamento da compesa,Água
43,2016-11-30,186.0,pagamento agua lustral   ( dra que pagou ),Água
44,2016-12-06,280.0,"PAGAMENTO CAMINHAO PIPA 130,00 QUE DEVIA + ATUAL 150,00",Água
45,2016-12-13,150.0,Pagamento do caminhao pipa,Água
46,2016-12-21,176.83,PAgamento compesa,Água
47,2016-12-23,150.0,Pagamento caminhao pipa,Água
48,2017-01-05,198.0,Pagamento da agua lustral,Água
49,2017-02-07,162.0,PAGAMENTO AGUA LUSTRAL,Água
50,2017-03-21,170.0,pagamento caminhao pipa,Água
51,2017-04-10,150.0,PAGAMENTO AGUA LUSTRAL,Água
52,2017-05-02,186.0,Pagamento agua lustral,Água
53,2017-06-06,132.0,Pagamento agua lustral,Água
54,2017-07-03,122.0,Pagamento agua lustral,Água
55,2017-07-06,170.0,Pagamento caminhao pipa,Água
56,2017-06-06,180.0,Pagamento caminhao pipa evandro,Água
57,2017-06-12,180.0,Pagamento caminhao pipa,Água
58,2017-05-19,170.0,Pagamento caminhao pipa,Água
59,2017-05-29,180.0,Pagamento caminhao pipa,Água
60,2017-07-27,180.0,Pagamento caminhao pipa,Água
61,2017-08-08,170.0,Pagamento caminhao  pipa,Água
62,2017-08-14,170.0,Pagamento caminhao pipa,Água
63,2017-08-28,170.0,Caminhao pipa,Água
64,2017-08-31,150.0,Pagamento agua lustral,Água
65,2017-09-01,170.0,Caminhao pipa,Água
