,Date,Value,Descricao,Categoria
0,2017-12-05,4685.0,13º - A,13º Salário
1,2017-12-05,4685.0,13º - B,13º Salário
2,2017-01-05,300.0,Condomínio,Água
3,2017-02-05,300.0,Condomínio,Água
4,2017-03-05,300.0,Condomínio,Água
5,2017-04-05,300.0,Condomínio,Água
6,2017-05-05,300.0,Condomínio,Água
7,2017-06-05,300.0,Condomínio,Água
8,2017-07-05,300.0,Condomínio,Água
9,2017-08-05,300.0,Condomínio,Água
10,2017-09-05,300.0,Condomínio,Água
11,2017-10-05,300.0,Condomínio,Água
12,2017-11-05,300.0,Condomínio,Água
13,2017-12-05,300.0,Condomínio,Água
14,2018-01-05,300.0,Condomínio,Água
15,2017-01-05,1000.0,Aluguel,Aluguel
16,2017-02-05,1000.0,Aluguel,Aluguel
17,2017-03-05,1000.0,Aluguel,Aluguel
18,2017-04-05,1000.0,Aluguel,Aluguel
19,2017-05-05,1000.0,Aluguel,Aluguel
20,2017-06-05,1000.0,Aluguel,Aluguel
21,2017-07-05,1000.0,Aluguel,Aluguel
22,2017-08-05,1000.0,Aluguel,Aluguel
23,2017-09-05,1000.0,Aluguel,Aluguel
24,2017-10-05,1000.0,Aluguel,Aluguel
25,2017-11-05,1000.0,Aluguel,Aluguel
26,2017-12-05,1000.0,Aluguel,Aluguel
27,2018-01-05,1000.0,Aluguel,Aluguel
28,2017-09-05,500.0,Aluguel da sala,Aluguel
29,2017-10-05,500.0,Aluguel da sala,Aluguel
30,2017-11-05,500.0,Aluguel da sala,Aluguel
31,2017-12-05,500.0,Aluguel da sala,Aluguel
32,2018-01-05,500.0,Aluguel da sala,Aluguel
33,2018-02-05,500.0,Aluguel da sala,Aluguel
34,2018-03-05,500.0,Aluguel da sala,Aluguel
35,2018-04-05,500.0,Aluguel da sala,Aluguel
36,2018-05-05,500.0,Aluguel da sala,Aluguel
37,2018-06-05,500.0,Aluguel da sala,Aluguel
38,2018-07-05,500.0,Aluguel da sala,Aluguel
39,2018-08-05,500.0,Aluguel da sala,Aluguel
40,2018-09-05,500.0,Aluguel da sala,Aluguel
41,2017-01-10,20.0,Material de Limpeza,Aquisição de suprimentos
42,2017-02-10,20.0,Material de Limpeza,Aquisição de suprimentos
43,2017-03-10,20.0,Material de Limpeza,Aquisição de suprimentos
44,2017-04-10,20.0,Material de Limpeza,Aquisição de suprimentos
45,2017-05-10,20.0,Material de Limpeza,Aquisição de suprimentos
46,2017-06-10,20.0,Material de Limpeza,Aquisição de suprimentos
47,2017-07-10,20.0,Material de Limpeza,Aquisição de suprimentos
48,2017-08-10,20.0,Material de Limpeza,Aquisição de suprimentos
49,2017-09-10,20.0,Material de Limpeza,Aquisição de suprimentos
50,2017-10-10,20.0,Material de Limpeza,Aquisição de suprimentos
51,2017-11-10,20.0,Material de Limpeza,Aquisição de suprimentos
52,2017-12-10,20.0,Material de Limpeza,Aquisição de suprimentos
53,2018-01-10,20.0,Material de Limpeza,Aquisição de suprimentos
54,2017-01-10,15.0,Material de Escritório,Aquisição de suprimentos
55,2017-02-10,15.0,Material de Escritório,Aquisição de suprimentos
56,2017-03-10,15.0,Material de Escritório,Aquisição de suprimentos
57,2017-04-10,15.0,Material de Escritório,Aquisição de suprimentos
58,2017-05-10,15.0,Material de Escritório,Aquisição de suprimentos
59,2017-06-10,15.0,Material de Escritório,Aquisição de suprimentos
60,2017-07-10,15.0,Material de Escritório,Aquisição de suprimentos
61,2017-08-10,15.0,Material de Escritório,Aquisição de suprimentos
62,2017-09-10,15.0,Material de Escritório,Aquisição de suprimentos
63,2017-10-10,15.0,Material de Escritório,Aquisição de suprimentos
64,2017-11-10,15.0,Material de Escritório,Aquisição de suprimentos
65,2017-12-10,15.0,Material de Escritório,Aquisição de suprimentos
66,2018-01-10,15.0,Material de Escritório,Aquisição de suprimentos
67,2017-01-10,25.0,Alimentos,Aquisição de suprimentos
68,2017-02-10,25.0,Alimentos,Aquisição de suprimentos
69,2017-03-10,25.0,Alimentos,Aquisição de suprimentos
70,2017-04-10,25.0,Alimentos,Aquisição de suprimentos
71,2017-05-10,25.0,Alimentos,Aquisição de suprimentos
72,2017-06-10,25.0,Alimentos,Aquisição de suprimentos
73,2017-07-10,25.0,Alimentos,Aquisição de suprimentos
74,2017-08-10,25.0,Alimentos,Aquisição de suprimentos
75,2017-09-10,25.0,Alimentos,Aquisição de suprimentos
76,2017-10-10,25.0,Alimentos,Aquisição de suprimentos
77,2017-11-10,25.0,Alimentos,Aquisição de suprimentos
78,2017-12-10,25.0,Alimentos,Aquisição de suprimentos
79,2018-01-10,25.0,Alimentos,Aquisição de suprimentos
80,2017-01-05,400.0,Assessoria Contábil,Contabilidade
81,2017-02-05,400.0,Assessoria Contábil,Contabilidade
82,2017-03-05,400.0,Assessoria Contábil,Contabilidade
83,2017-04-05,400.0,Assessoria Contábil,Contabilidade
84,2017-05-05,400.0,Assessoria Contábil,Contabilidade
85,2017-06-05,400.0,Assessoria Contábil,Contabilidade
86,2017-07-05,400.0,Assessoria Contábil,Contabilidade
87,2017-08-05,400.0,Assessoria Contábil,Contabilidade
88,2017-09-05,400.0,Assessoria Contábil,Contabilidade
89,2017-10-05,400.0,Assessoria Contábil,Contabilidade
90,2017-11-05,400.0,Assessoria Contábil,Contabilidade
91,2017-12-05,400.0,Assessoria Contábil,Contabilidade
92,2018-01-05,400.0,Assessoria Contábil,Contabilidade
93,2017-01-05,30.0,Anuidade Cartão,Despesas bancárias
94,2017-02-05,30.0,Anuidade Cartão,Despesas bancárias
95,2017-03-05,30.0,Anuidade Cartão,Despesas bancárias
96,2017-04-05,30.0,Anuidade Cartão,Despesas bancárias
97,2017-05-05,30.0,Anuidade Cartão,Despesas bancárias
98,2017-06-05,30.0,Anuidade Cartão,Despesas bancárias
99,2017-07-05,30.0,Anuidade Cartão,Despesas bancárias
100,2017-08-05,30.0,Anuidade Cartão,Despesas bancárias
101,2017-09-05,30.0,Anuidade Cartão,Despesas bancárias
102,2017-10-05,30.0,Anuidade Cartão,Despesas bancárias
103,2017-11-05,30.0,Anuidade Cartão,Despesas bancárias
104,2017-12-05,30.0,Anuidade Cartão,Despesas bancárias
105,2018-01-05,30.0,Anuidade Cartão,Despesas bancárias
106,2017-01-05,30.0,Manutenção de Conta,Despesas bancárias
107,2017-02-05,30.0,Manutenção de Conta,Despesas bancárias
108,2017-03-05,30.0,Manutenção de Conta,Despesas bancárias
109,2017-04-05,30.0,Manutenção de Conta,Despesas bancárias
110,2017-05-05,30.0,Manutenção de Conta,Despesas bancárias
111,2017-06-05,30.0,Manutenção de Conta,Despesas bancárias
112,2017-07-05,30.0,Manutenção de Conta,Despesas bancárias
113,2017-08-05,30.0,Manutenção de Conta,Despesas bancárias
114,2017-09-05,30.0,Manutenção de Conta,Despesas bancárias
115,2017-10-05,30.0,Manutenção de Conta,Despesas bancárias
116,2017-11-05,30.0,Manutenção de Conta,Despesas bancárias
117,2017-12-05,30.0,Manutenção de Conta,Despesas bancárias
118,2018-01-05,30.0,Manutenção de Conta,Despesas bancárias
119,2017-01-10,3.5,Boleto,Despesas bancárias
120,2017-02-10,3.5,Boleto,Despesas bancárias
121,2017-03-10,3.5,Boleto,Despesas bancárias
122,2017-04-10,3.5,Boleto,Despesas bancárias
123,2017-05-10,3.5,Boleto,Despesas bancárias
124,2017-01-05,200.0,Luz,Energia
125,2017-02-05,200.0,Luz,Energia
126,2017-03-05,200.0,Luz,Energia
127,2017-04-05,200.0,Luz,Energia
128,2017-05-05,200.0,Luz,Energia
129,2017-06-05,200.0,Luz,Energia
130,2017-07-05,200.0,Luz,Energia
131,2017-08-05,200.0,Luz,Energia
132,2017-09-05,200.0,Luz,Energia
133,2017-10-05,200.0,Luz,Energia
134,2017-11-05,200.0,Luz,Energia
135,2017-12-05,200.0,Luz,Energia
136,2018-01-05,200.0,Luz,Energia
137,2017-12-05,937.0,Férias - Estagiário,Férias
138,2017-01-20,104.72,Anuidade CAU/BR,Filiações e subscrições
139,2017-02-20,104.72,Anuidade CAU/BR,Filiações e subscrições
140,2017-03-20,104.72,Anuidade CAU/BR,Filiações e subscrições
141,2017-04-20,104.72,Anuidade CAU/BR,Filiações e subscrições
142,2017-05-20,104.72,Anuidade CAU/BR,Filiações e subscrições
143,2017-06-20,104.72,Anuidade CAU/BR,Filiações e subscrições
144,2017-03-20,1015.8,DAS,Imposto: DAS Simples
145,2017-04-20,1015.8,DAS,Imposto: DAS Simples
146,2017-05-20,1015.8,DAS,Imposto: DAS Simples
147,2017-06-20,1015.8,DAS,Imposto: DAS Simples
148,2017-03-20,846.5,DAS,Imposto: DAS Simples
149,2017-04-20,846.5,DAS,Imposto: DAS Simples
150,2017-05-20,846.5,DAS,Imposto: DAS Simples
151,2017-06-20,846.5,DAS,Imposto: DAS Simples
152,2017-02-20,620.76,DAS,Imposto: DAS Simples
153,2017-03-20,620.76,DAS,Imposto: DAS Simples
154,2017-04-20,620.76,DAS,Imposto: DAS Simples
155,2017-05-20,620.76,DAS,Imposto: DAS Simples
156,2017-02-20,1015.8,DAS,Imposto: DAS Simples
157,2017-02-20,846.5,DAS,Imposto: DAS Simples
158,2017-01-20,824.56,GPS - Sócios,Imposto: INSS
159,2017-02-20,824.56,GPS - Sócios,Imposto: INSS
160,2017-03-20,824.56,GPS - Sócios,Imposto: INSS
161,2017-04-20,824.56,GPS - Sócios,Imposto: INSS
162,2017-05-20,824.56,GPS - Sócios,Imposto: INSS
163,2017-06-20,824.56,GPS - Sócios,Imposto: INSS
164,2017-07-20,824.56,GPS - Sócios,Imposto: INSS
165,2017-08-20,824.56,GPS - Sócios,Imposto: INSS
166,2017-09-20,824.56,GPS - Sócios,Imposto: INSS
167,2017-10-20,824.56,GPS - Sócios,Imposto: INSS
168,2017-11-20,824.56,GPS - Sócios,Imposto: INSS
169,2017-12-20,824.56,GPS - Sócios,Imposto: INSS
170,2018-01-20,824.56,GPS - Sócios,Imposto: INSS
171,2017-01-05,105.0,Vale Transporte,Prêmios e outros benefícios
172,2017-02-05,105.0,Vale Transporte,Prêmios e outros benefícios
173,2017-03-05,105.0,Vale Transporte,Prêmios e outros benefícios
174,2017-04-05,105.0,Vale Transporte,Prêmios e outros benefícios
175,2017-05-05,105.0,Vale Transporte,Prêmios e outros benefícios
176,2017-06-05,105.0,Vale Transporte,Prêmios e outros benefícios
177,2017-07-05,105.0,Vale Transporte,Prêmios e outros benefícios
178,2017-08-05,105.0,Vale Transporte,Prêmios e outros benefícios
179,2017-09-05,105.0,Vale Transporte,Prêmios e outros benefícios
180,2017-10-05,105.0,Vale Transporte,Prêmios e outros benefícios
181,2017-11-05,105.0,Vale Transporte,Prêmios e outros benefícios
182,2017-12-05,105.0,Vale Transporte,Prêmios e outros benefícios
183,2018-01-05,105.0,Vale Transporte,Prêmios e outros benefícios
184,2017-01-05,4685.0,Pro-labore - B ,Pro-labore
185,2017-02-05,4685.0,Pro-labore - B ,Pro-labore
186,2017-03-05,4685.0,Pro-labore - B ,Pro-labore
187,2017-04-05,4685.0,Pro-labore - B ,Pro-labore
188,2017-05-05,4685.0,Pro-labore - B ,Pro-labore
189,2017-06-05,4685.0,Pro-labore - B ,Pro-labore
190,2017-07-05,4685.0,Pro-labore - B ,Pro-labore
191,2017-08-05,4685.0,Pro-labore - B ,Pro-labore
192,2017-09-05,4685.0,Pro-labore - B ,Pro-labore
193,2017-10-05,4685.0,Pro-labore - B ,Pro-labore
194,2017-11-05,4685.0,Pro-labore - B ,Pro-labore
195,2017-12-05,4685.0,Pro-labore - B ,Pro-labore
196,2018-01-05,4685.0,Pro-labore - B ,Pro-labore
197,2017-01-05,4685.0,Pro-labore - A,Pro-labore
198,2017-02-05,4685.0,Pro-labore - A,Pro-labore
199,2017-03-05,4685.0,Pro-labore - A,Pro-labore
200,2017-04-05,4685.0,Pro-labore - A,Pro-labore
201,2017-05-05,4685.0,Pro-labore - A,Pro-labore
202,2017-06-05,4685.0,Pro-labore - A,Pro-labore
203,2017-07-05,4685.0,Pro-labore - A,Pro-labore
204,2017-08-05,4685.0,Pro-labore - A,Pro-labore
205,2017-09-05,4685.0,Pro-labore - A,Pro-labore
206,2017-10-05,4685.0,Pro-labore - A,Pro-labore
207,2017-11-05,4685.0,Pro-labore - A,Pro-labore
208,2017-12-05,4685.0,Pro-labore - A,Pro-labore
209,2018-01-05,4685.0,Pro-labore - A,Pro-labore
210,2017-01-05,937.0,Estagiário,Salário
211,2017-02-05,937.0,Estagiário,Salário
212,2017-03-05,937.0,Estagiário,Salário
213,2017-04-05,937.0,Estagiário,Salário
214,2017-05-05,937.0,Estagiário,Salário
215,2017-06-05,937.0,Estagiário,Salário
216,2017-07-05,937.0,Estagiário,Salário
217,2017-08-05,937.0,Estagiário,Salário
218,2017-09-05,937.0,Estagiário,Salário
219,2017-10-05,937.0,Estagiário,Salário
220,2017-11-05,937.0,Estagiário,Salário
221,2017-12-05,937.0,Estagiário,Salário
222,2018-01-05,937.0,Estagiário,Salário
223,2017-01-06,30.0,Faxineira,Serviço de terceiro
224,2017-01-13,30.0,Faxineira,Serviço de terceiro
225,2017-01-20,30.0,Faxineira,Serviço de terceiro
226,2017-01-27,30.0,Faxineira,Serviço de terceiro
227,2017-02-03,30.0,Faxineira,Serviço de terceiro
228,2017-02-10,30.0,Faxineira,Serviço de terceiro
229,2017-02-17,30.0,Faxineira,Serviço de terceiro
230,2017-02-24,30.0,Faxineira,Serviço de terceiro
231,2017-03-03,30.0,Faxineira,Serviço de terceiro
232,2017-03-10,30.0,Faxineira,Serviço de terceiro
233,2017-03-17,30.0,Faxineira,Serviço de terceiro
234,2017-03-31,30.0,Faxineira,Serviço de terceiro
235,2017-04-07,30.0,Faxineira,Serviço de terceiro
236,2017-04-14,30.0,Faxineira,Serviço de terceiro
237,2017-04-21,30.0,Faxineira,Serviço de terceiro
238,2017-04-28,30.0,Faxineira,Serviço de terceiro
239,2017-05-05,30.0,Faxineira,Serviço de terceiro
240,2017-05-12,30.0,Faxineira,Serviço de terceiro
241,2017-05-19,30.0,Faxineira,Serviço de terceiro
242,2017-05-26,30.0,Faxineira,Serviço de terceiro
243,2017-06-02,30.0,Faxineira,Serviço de terceiro
244,2017-06-09,30.0,Faxineira,Serviço de terceiro
