,Date,Value,Descricao,Categoria
0,2016-12-16,3.9,Fita PVC ,Aquisição de equipamentos
1,2016-07-14,224.0,Certificado Digital,Contabilidade
2,2016-04-05,80.0,Curso valor reembolsado em 2016,Desenvolvimento/Investimento em membros 
3,2016-07-12,265.0,Capacitação de membros,Desenvolvimento/Investimento em membros 
4,2016-10-06,85.0,Ajuda de custo - Suelen Almeida Pitombeira,Desenvolvimento/Investimento em membros 
5,2016-04-06,9.0,Cópia de fichas de avaliação ,Desenvolvimento/Investimento em membros 
6,2016-02-02,5.0,Água- garrafão,INOVA Água e Afins
7,2016-04-07,5.0,Garrafão de água,INOVA Água e Afins
8,2016-04-20,5.0,Garrafão de água ,INOVA Água e Afins
9,2016-05-10,5.0,Garrafão de água ,INOVA Água e Afins
10,2016-05-23,5.0,Garrafão de água,INOVA Água e Afins
11,2016-06-13,5.0,Água mineral para membros e para clientes.,INOVA Água e Afins
12,2016-06-28,5.0,Garrafão de água ,INOVA Água e Afins
13,2016-08-03,3.0,copos de plastico,INOVA Água e Afins
14,2016-08-03,5.0,Compra de água,INOVA Água e Afins
15,2016-08-25,5.0,Compra de um garrafão de água,INOVA Água e Afins
16,2016-02-29,5.0,Água - aquisição de suprimento ,INOVA Água e Afins
17,2016-11-14,5.0,GARRAFÃO DE ÁGUA,INOVA Água e Afins
18,2016-10-26,5.0,Garrafão de água,INOVA Água e Afins
19,2016-10-17,5.0,Garrafão de água,INOVA Água e Afins
20,2016-10-06,5.0,Garrafão de água,INOVA Água e Afins
21,2016-10-03,5.0,Garrafão de Água -,INOVA Água e Afins
22,2016-09-29,3.0,Compra de copos descartáveis,INOVA Água e Afins
23,2016-09-19,5.0,Garrafão de água,INOVA Água e Afins
24,2016-11-03,5.0,Água - garrafão,INOVA Água e Afins
25,2016-11-30,5.0,Garrafão de Água,INOVA Água e Afins
26,2016-12-12,5.0,Garrafão de Água,INOVA Água e Afins
27,2017-01-31,5.0,Garrafão de água,INOVA Água e Afins
28,2017-01-05,5.0,Água: Garrafão,INOVA Água e Afins
29,2017-01-20,5.0,Água: Garrafão,INOVA Água e Afins
