,Date,Value,Descricao,Categoria
0,2017-03-24,20.0,TAR CONTR FIN COMEXPRESS,13º Salário
1,2017-11-30,728.46,13º salário - 1º parcela - Armando,13º Salário
2,2017-11-30,250.0,13º salário - 1º parcela - Ana,13º Salário
3,2017-11-30,1064.69,13º salário - 1º parcela - Amanda,13º Salário
4,2017-11-30,556.76,13º salário - 1º parcela - Douglas,13º Salário
5,2017-11-30,3390.06,13º salário - 1º parcela - Rodrigo,13º Salário
6,2017-11-30,482.69,13º salário - 1º parcela - Ronaldo,13º Salário
7,2017-11-30,216.85,13º salário - 1º parcela - Lucas,13º Salário
8,2017-11-30,1602.62,13º salário - 1º parcela - Amélia,13º Salário
9,2017-11-30,213.33,13º salário - 1º parcela - Ariadne,13º Salário
10,2017-11-30,1069.73,13º salário - 1º parcela - Daniel,13º Salário
11,2017-12-01,2500.0,REC.1ª parcela 13º salario.nov.17-MFP,13º Salário
12,2017-12-01,1935.61,REC.1ª parcela 13º salario.nov.17-FCC,13º Salário
13,2017-12-01,1602.62,REC.1ª parcela 13º salario.nov.17-AFP,13º Salário
14,2017-12-01,947.28,REC.1ª parcela 13º salario.nov.17-CML,13º Salário
15,2017-12-01,202.54,REC.1ª parcela 13º salario.nov.17-AMA,13º Salário
16,2017-12-01,2143.72,MCZ.1ª parcela 13º salario.nov.17-RBS,13º Salário
17,2017-12-01,1309.61,MCZ.1ª parcela 13º salario.nov.17-LNP,13º Salário
18,2017-12-01,1335.6,FLA.1ª parcela 13º salario.nov.17-PHO,13º Salário
19,2017-12-01,796.16,FLA.1ª parcela 13º salario.nov.17-PVP,13º Salário
20,2017-12-01,1452.0,ITA.1ª parcela 13º salario.nov.17-MBN,13º Salário
21,2017-12-01,428.79,ITA.1ª parcela 13º salario.nov.17-Alan,13º Salário
22,2017-11-30,1016.55,13º salário - 1º parcela - Leonardo,13º Salário
23,2017-12-20,1584.88,REC.2° Parcela - 13°/DEZ,13º Salário
24,2017-12-20,1529.95,REC.2° Parcela - 13°/DEZ,13º Salário
25,2017-12-20,1176.94,2° Parcela - 13°/DEZ,13º Salário
26,2017-12-20,813.44,2° Parcela - 13°/DEZ,13º Salário
27,2017-12-20,177.44,2° Parcela - 13°/DEZ,13º Salário
28,2017-12-20,122.66,2° Parcela - 13°/DEZ,13º Salário
29,2017-12-20,1125.46,2° Parcela - 13°/DEZ,13º Salário
30,2017-12-20,1603.83,2° Parcela - 13°/DEZ,13º Salário
31,2017-12-20,1061.69,2° Parcela - 13°/DEZ,13º Salário
32,2017-12-20,684.2,2° Parcela - 13°/DEZ,13º Salário
33,2017-12-20,220.41,2° Parcela - 13°/DEZ,13º Salário
34,2017-12-20,276.0,2° Parcela - 13°/DEZ,13º Salário
35,2017-12-20,1209.13,2° Parcela - 13°/DEZ,13º Salário
36,2017-12-20,402.95,2° Parcela - 13°/DEZ,13º Salário
37,2017-12-20,611.92,13º salário - 2º parcela - Armando,13º Salário
38,2017-12-20,881.33,13º salário - 2º parcela - Amanda,13º Salário
39,2017-12-20,213.07,13º salário - 2º parcela - Ana,13º Salário
40,2017-12-20,240.91,13º salário - 2º parcela - Lucas,13º Salário
41,2017-12-20,442.82,13º salário - 2º parcela - Ronaldo,13º Salário
42,2017-12-20,1020.43,13º salário - 2º parcela - Daniel,13º Salário
43,2017-12-20,929.3,13º salário - 2º parcela - Leonardo,13º Salário
44,2017-12-20,179.21,13º salário - 2º parcela - Ariadne,13º Salário
45,2017-12-20,2167.12,13º salário - 2º parcela - Rodrigo,13º Salário
46,2017-12-20,509.76,13º salário - 2º parcela - Douglas,13º Salário
47,2017-12-21,1176.94,13º salário - 2º parcela - Amélia,13º Salário
48,2017-03-17,700.0,FLA.Adiantamento de Viagem (Socio)(Fortaleza 1,Adiantamento de Viagem
49,2017-03-24,700.0,FLA.Adiantamento de Viagem (Socio)(Fortaleza 2,Adiantamento de Viagem
50,2017-06-22,500.0,REC.ERISORT.Aratu-Despesas de viagem,Adiantamento de Viagem
51,2017-11-23,71000.0,Adiantamento PDA Sub agente - Happy Lady,Adiantamento de Viagem
52,2018-03-22,300.0,MCZ.Adiantamento de viagem-RBS,Adiantamento de Viagem
53,2017-01-04,1087.32,REC.Refeiçoes Staff dez.16,Alimentação - Pessoal
54,2017-01-02,24.6,Despesas com refeição LFL,Alimentação - Pessoal
55,2017-01-19,28.9,Despesa com alimentação VOS,Alimentação - Pessoal
56,2017-01-18,26.95,DESPESA COM ALIMENTAÇÃO  VOS,Alimentação - Pessoal
57,2017-01-23,25.85,Despesa com alimentação VOS,Alimentação - Pessoal
58,2017-01-23,48.0,Despesa com alimentação VOS,Alimentação - Pessoal
59,2017-01-16,28.9,Despesa com Alimentação LFL  ,Alimentação - Pessoal
60,2017-01-09,26.95,Despesa com alimentação LFL,Alimentação - Pessoal
61,2017-01-14,6.0,Despesa com alimentação LFL,Alimentação - Pessoal
62,2017-01-20,28.05,Despesa com alimentação VOS,Alimentação - Pessoal
63,2017-01-13,20.0,Despesa com alimentação LFL,Alimentação - Pessoal
64,2017-01-27,59.4,Despesa com alimentação VOS/LFL,Alimentação - Pessoal
65,2017-01-26,77.6,Despesa com refeições LFL/VOS,Alimentação - Pessoal
66,2017-01-06,220.0,Despesa com alimentação LFL,Alimentação - Pessoal
67,2017-01-02,26.95,Despesa com alimentação LFL,Alimentação - Pessoal
68,2017-03-01,16.0,Scarelli's Refeições,Alimentação - Pessoal
69,2017-02-24,16.0,Scarelli's Bar e Restaurante,Alimentação - Pessoal
70,2017-03-08,815.49,REC.Refeições Staff.Fev.17,Alimentação - Pessoal
71,2017-03-16,28.9,Refeição - VOS,Alimentação - Pessoal
72,2017-03-17,25.85,Alimentação VOS,Alimentação - Pessoal
73,2017-03-24,26.95,Alimentação VOS,Alimentação - Pessoal
74,2017-04-05,1164.89,REC.Refeições Staff.Mar.17,Alimentação - Pessoal
75,2017-05-04,13.0,Alimentação,Alimentação - Pessoal
76,2017-05-04,19.0,Alimentação,Alimentação - Pessoal
77,2017-05-30,36.0,Refeição VOS,Alimentação - Pessoal
78,2017-05-31,26.95,Refeição VOS,Alimentação - Pessoal
79,2017-06-26,10.7,Refeição LFL,Alimentação - Pessoal
80,2017-06-01,25.85,Refeição - VOS,Alimentação - Pessoal
81,2017-06-01,28.9,Refeição - VOS,Alimentação - Pessoal
82,2017-06-01,32.74,Refeição VOS,Alimentação - Pessoal
