,Date,Value,Descricao,Categoria
0,2018-02-04,130.76,Água,Água
1,2018-06-04,130.76,Água,Água
2,2018-07-04,130.76,Água,Água
3,2018-08-04,130.76,Água,Água
4,2018-09-04,130.76,Água,Água
5,2018-10-04,130.76,Água,Água
6,2018-11-04,130.76,Água,Água
7,2018-12-04,130.76,Água,Água
8,2019-01-04,130.76,Água,Água
9,2019-02-04,130.76,Água,Água
10,2018-02-04,42.19,Água,Água
11,2018-03-04,42.19,Água,Água
12,2018-04-04,42.19,Água,Água
13,2018-05-04,42.19,Água,Água
14,2018-06-04,42.19,Água,Água
15,2018-07-04,42.19,Água,Água
16,2018-08-04,42.19,Água,Água
17,2018-09-04,42.19,Água,Água
18,2018-10-04,42.19,Água,Água
19,2018-11-04,42.19,Água,Água
20,2018-12-04,42.19,Água,Água
21,2019-01-04,42.19,Água,Água
22,2019-02-04,42.19,Água,Água
23,2018-03-04,192.62,Água,Água
24,2018-03-10,646.35,Nubank,Água
25,2018-04-04,84.38,Água,Água
26,2018-05-09,130.76,Água,Água
27,2017-05-12,40.0,Politriz,Aluguel Equipamentos
28,2018-01-31,440.37,Anuidade Conselho - CAU,Anuidade Conselho - CAU
29,2019-01-31,440.37,Anuidade Conselho - CAU,Anuidade Conselho - CAU
30,2018-03-09,38.0,Refeição Gabriela e do Luiz,Benefício: alimentação
31,2018-03-11,68.5,Refeição Gabriela e do Luiz,Benefício: alimentação
32,2018-04-08,65.0,Almoço Pai e Gabi na Congregação,Benefício: alimentação
33,2017-12-07,71.47,Taxa - Corpo de Bombeiro,Bombeiros
34,2018-02-10,821.47,Nubank,Cartão Crédito 
35,2018-06-10,279.9,Nubank,Cartão Crédito 
36,2018-07-10,279.9,Nubank,Cartão Crédito 
37,2018-08-10,279.9,Nubank,Cartão Crédito 
38,2018-09-10,279.9,Nubank,Cartão Crédito 
39,2018-10-10,279.9,Nubank,Cartão Crédito 
40,2018-11-10,279.9,Nubank,Cartão Crédito 
41,2018-12-10,80.0,Nubank,Cartão Crédito 
42,2019-01-10,80.0,Nubank,Cartão Crédito 
43,2018-04-10,763.11,Nubank,Cartão Crédito 
44,2018-05-10,1225.27,Nubank,Cartão Crédito 
45,2017-10-10,47.1,Autenticação e Reconhecimento de Firma,Cartório
46,2017-10-23,4.9,Reconhecimento de Firma,Cartório
47,2017-12-01,4.9,Reconhecimento de Firma,Cartório
48,2018-02-13,164.8,Roupas,Compra de Produtos
49,2018-02-10,151.0,Garrafa Térmica _ Ventilador _ Liquidificador,Compra de Produtos
50,2018-03-10,151.0,Garrafa Térmica _ Ventilador _ Liquidificador,Compra de Produtos
