,Date,Value,Descricao,Categoria
0,2017-06-29,586.19,Adiantamento 13ª Salário (Férias) Adriana de Jesus Souza,13º Salário
1,2017-11-30,450.0,1ª Parcela 13º Salário - Thaís Cristina Santos ,13º Salário
2,2017-11-30,493.0,1ª Parcela 13º Salário - Adriana Melo ,13º Salário
3,2017-11-30,586.19,1ª Parcela 13º Salário - Daniela Cerqueira ,13º Salário
4,2017-11-30,586.19,1ª Parcela 13º Salário - Ellen ,13º Salário
5,2017-11-30,246.5,1ª Parcela 13º Salário - Antonio Carlos ,13º Salário
6,2017-11-30,246.5,1ª Parcela 13º Salário - Gilbert ,13º Salário
7,2017-11-30,246.5,1ª Parcela 13º Salário - Gilmeire ,13º Salário
8,2017-11-30,123.25,1ª Parcela 13º Salário - Lorena ,13º Salário
9,2017-11-30,205.42,1ª Parcela 13º Salário - André ,13º Salário
10,2017-11-30,639.48,1ª Parcela 13º Salário - Karina ,13º Salário
11,2017-11-30,532.9,1ª Parcela 13º Salário - Carla ,13º Salário
12,2017-11-30,355.27,1ª Parcela 13º Salário - Fernanda de Souza ,13º Salário
13,2017-11-30,532.9,1ª Parcela 13º Salário - Lucimari ,13º Salário
14,2017-11-30,400.0,1ª Parcela 13º Salário - Dedivaldo ,13º Salário
15,2017-11-30,410.83,1ª Parcela 13º Salário - Diego Almeida ,13º Salário
16,2017-11-30,410.83,1ª Parcela 13º Salário - Jeferson Mendes ,13º Salário
17,2017-11-30,493.0,1ª Parcela 13º Salário ´- Lenilson ,13º Salário
18,2017-11-30,410.83,1ª Parcela 13º Salário - Wesley,13º Salário
19,2017-11-30,383.63,1ª Parcela 13º Salário - Marlon Moisés,13º Salário
20,2017-11-30,164.33,1ª Parcela 13º Salário - Gilvan Tailisson ,13º Salário
21,2017-11-30,425.4,1ª Parcela 13º Salário - Matheus ,13º Salário
22,2017-12-20,414.12,2ª Parcela 13º Salário - Adriana Melo,13º Salário
23,2017-12-20,492.4,2ª Parcela 13º Salário - Daniela Cerqueira,13º Salário
24,2017-12-20,492.4,2ª Parcela 13º Salário - Ellen,13º Salário
25,2017-12-20,207.06,2ª Parcela 13º Salário - Antonio Carlos,13º Salário
26,2017-12-20,207.06,2ª Parcela 13º Salário - Gilbert,13º Salário
27,2017-12-20,207.06,2ª Parcela 13º Salário - Gilmeire ,13º Salário
28,2017-12-20,103.53,2ª Parcela 13º Salário - Lorena,13º Salário
29,2017-12-20,378.0,2ª Parcela 13º Salário - Thaís Cristina,13º Salário
30,2017-12-20,172.55,2ª Parcela 13º Salário - André,13º Salário
31,2017-12-20,537.17,2ª Parcela 13º Salário - Karina,13º Salário
32,2017-12-20,447.64,2ª Parcela 13º Salário - Carla,13º Salário
33,2017-12-20,298.42,2ª Parcela 13º Salário - Fernanda ,13º Salário
34,2017-12-20,447.64,2ª Parcela 13º Salário - Lucimari,13º Salário
35,2017-12-20,336.0,2ª Parcela 13º Salário - Dedivaldo,13º Salário
36,2017-12-20,345.11,2ª Parcela 13º Salário - Diego,13º Salário
37,2017-12-20,345.11,2ª Parcela 13º Salário - Jeferson,13º Salário
