,Date,Value,Descricao,Categoria
0,2016-11-06,503.81,13o - Parcela 1,13º Salário
1,2016-12-06,422.11,13o - Parcela 2,13º Salário
2,2015-11-27,400.0,13º Salário - Parcela 1 ,13º Salário
3,2015-11-27,2.0,13º Salário - Parcela 1 Saldo,13º Salário
4,2015-11-30,250.0,13º Salário - Parcela 1 Saldo,13º Salário
5,2015-12-20,545.31,13º Salário - Parcela 2,13º Salário
6,2016-11-06,1010.45,13o - Parcela 1,13º Salário
7,2016-12-06,826.84,13o - Parcela 2,13º Salário
8,2016-12-20,215.0,13o - Diferença,13º Salário
9,2016-12-06,273.65,13o - Parcela 1,13º Salário
10,2016-12-30,230.92,13o - Parcela 2,13º Salário
11,2015-11-30,566.68,13o - Parcela 1,13º Salário
12,2015-12-30,479.5,13o - Parcela 2,13º Salário
13,2016-11-20,669.2,13o - Parcela 1,13º Salário
14,2016-12-20,561.93,13o - Parcela 2,13º Salário
15,2015-11-30,1176.91,13o - Parcela 1,13º Salário
16,2015-12-30,897.76,13o - Parcela 2,13º Salário
17,2016-11-20,1154.17,13o - Parcela 1,13º Salário
18,2016-12-20,931.04,13o - Parcela 2,13º Salário
19,2015-11-20,955.73,13o - Parcela 1,13º Salário
20,2015-12-20,777.71,13o - Parcela 2,13º Salário
21,2016-11-20,1018.01,13o - Parcela 1,13º Salário
22,2016-12-20,834.71,13o - Parcela 2,13º Salário
23,2015-11-30,649.56,13o - Parcela 1,13º Salário
24,2015-12-30,545.43,13o - Parcela 2,13º Salário
25,2015-11-30,1616.07,13o - Parcela 1,13º Salário
26,2015-12-20,1126.81,13o - Parcela 2,13º Salário
27,2015-09-30,1000.0,13o,13º Salário
28,2015-10-01,1500.0,13o,13º Salário
29,2015-11-03,982.0,13o,13º Salário
30,2016-11-20,1000.0,13o,13º Salário
31,2016-11-30,1800.0,13o,13º Salário
32,2016-10-27,1500.0,13o,13º Salário
33,2016-09-28,1500.0,13o,13º Salário
34,2015-11-30,95.83,13o,13º Salário
35,2015-12-30,81.05,13o,13º Salário
36,2016-11-30,183.43,13o,13º Salário
37,2016-12-30,155.9,13o,13º Salário
38,2015-11-20,422.39,13o,13º Salário
39,2015-12-20,370.36,13o,13º Salário
40,2015-12-20,1346.11,13o,13º Salário
41,2015-11-30,1954.69,13o,13º Salário
42,2015-11-30,50.63,13o,13º Salário
43,2015-12-20,42.54,13o,13º Salário
44,2016-11-06,335.45,13o,13º Salário
45,2016-12-06,281.78,13o,13º Salário
46,2015-09-24,2000.0,13o,13º Salário
47,2015-09-28,1000.0,13o,13º Salário
48,2015-10-28,3000.0,13o,13º Salário
49,2016-12-06,2300.0,13o,13º Salário
50,2016-11-10,1500.0,13o,13º Salário
51,2016-11-11,1000.0,13o,13º Salário
52,2016-09-23,1000.0,13o,13º Salário
53,2016-09-28,1000.0,13o,13º Salário
54,2015-11-06,884.0,13o,13º Salário
55,2015-10-30,634.0,13o,13º Salário
56,2018-11-25,875.0,13 - Rodrigo,13º Salário
57,2018-12-25,875.0,13 - Rodrigo,13º Salário
58,2018-11-25,1775.0,13 - Karin,13º Salário
59,2018-12-25,1775.0,13 - Karin,13º Salário
60,2018-11-25,1600.0,13 - Filipe,13º Salário
61,2018-12-25,1600.0,13 - Filipe,13º Salário
62,2017-11-25,1825.0,13 - Daiana,13º Salário
63,2017-11-25,830.82,13 - Eliandro,13º Salário
64,2017-11-25,1719.92,13 - Elisandro,13º Salário
65,2017-11-25,768.57,13 - Eloisa,13º Salário
66,2017-11-25,1078.87,13 - Fernando,13º Salário
67,2017-11-25,818.97,13 - Filipe,13º Salário
68,2017-11-25,1229.69,13 - Karin,13º Salário
69,2017-11-25,935.95,13 - Natanael,13º Salário
70,2017-11-25,589.24,13 - Rodrigo,13º Salário
71,2017-11-25,359.69,13 - Sheila,13º Salário
72,2017-11-22,840.46,13 - Tiago,13º Salário
73,2017-11-25,1500.0,"13O - Tiago (Descontado R$1.271,00 Floricultura + R$502,54 Espaço Luz)",13º Salário
74,2017-12-25,1319.46,13 - Daiana,13º Salário
75,2017-12-25,680.3,13 - Eliandro,13º Salário
76,2017-12-25,1234.04,13 - Elisandro,13º Salário
77,2017-12-25,641.8,13 - Eloisa,13º Salário
78,2017-12-25,879.8,13 - Fernando,13º Salário
79,2017-12-25,683.55,13 - Filipe,13º Salário
80,2017-12-25,972.16,13 - Karin,13º Salário
81,2017-12-25,742.91,13 - Natanael,13º Salário
